S_BOOT;システム ブーツ
INIT;フリートマネージャーの初期化
S_INFO;システム インフォ
LANG_L;LanguageManagerを読み込んでいます。。。
ADD_COMBUSTION;ガソリン車を追加しました:
ADD_ELECTRIC;電気自動車を追加しました:
EMPTY;車両ファイルが空です。いくつかの車両を追加してログ システムを開始します。
TICK_START;=== シミュレーションチック:
TICK_END;===
REST;休止状態
TELEMETRY;遠隔測定
R_ARROW;->
IS_RUN;実行中:
E_TEMP;エンジン温度:
F_LEVEL;燃料残量（％）:
RUN;（有効な状態）
ALERT;警報
INFO;インフォ
WARNING;注意
DANGER_TEMP;エンジン温度が危険なほど高くなっています。エンジンを停止します...
WARNING_TEMP;エンジンの温度が限界に達しました。冷却を開始します...
MEDIUM_FUEL;燃料レベルは中程度です
LOW_FUEL_COMB;燃料が非常に少なくなっています。給油してください！
LOW_FUEL_ELE;バッテリー残量が非常に少なくなっています。充電してください！
NO_FUEL;車の燃料が空です！
FINE;すべて正常です！
